id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
913,2.02E+15,,GFCL,38,1,200,796.2,159240,8/1/2024,118388449,232,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kumari Securities Private Limited,2024-08-01T14:17:08.177529,Goodwill Finance Limited
912,2.02E+15,,GFCL,45,1,370,796.3,294631,8/1/2024,118388448,232,Imperial Securities Company Pvt. Ltd.,Kumari Securities Private Limited,2024-08-01T14:17:08.177267,Goodwill Finance Limited
906,2.02E+15,,GFCL,45,32,130,796.3,103519,8/1/2024,118388239,232,Imperial Securities Company Pvt. Ltd.,Premier Securities Company Ltd.,2024-08-01T14:16:55.461887,Goodwill Finance Limited
911,2.02E+15,,GFCL,21,1,930,796.4,740652,8/1/2024,118388446,232,Midas Stock Broking Company Private Limited,Kumari Securities Private Limited,2024-08-01T14:17:08.176872,Goodwill Finance Limited
910,2.02E+15,,GFCL,21,61,70,796.4,55748,8/1/2024,118388349,232,Midas Stock Broking Company Private Limited,BHOLE GANESH SECURITIES LTD,2024-08-01T14:17:02.032989,Goodwill Finance Limited
909,2.02E+15,,GFCL,11,61,200,796.4,159280,8/1/2024,118388348,232,Malla & Malla Stock Broking Company Pvt. Limited,BHOLE GANESH SECURITIES LTD,2024-08-01T14:17:02.032898,Goodwill Finance Limited
915,2.02E+15,,GFCL,35,49,20,797,15940,8/1/2024,118388510,232,Kohinoor Investment & Securities Pvt. Ltd.,Online Securities Pvt. Ltd.,2024-08-01T14:17:11.738949,Goodwill Finance Limited
914,2.02E+15,,GFCL,41,49,100,797,79700,8/1/2024,118388480,232,Linch Stock Market Ltd.,Online Securities Pvt. Ltd.,2024-08-01T14:17:09.563943,Goodwill Finance Limited
905,2.02E+15,,GFCL,35,32,50,797,39850,8/1/2024,118388238,232,Kohinoor Investment & Securities Pvt. Ltd.,Premier Securities Company Ltd.,2024-08-01T14:16:55.461861,Goodwill Finance Limited
904,2.02E+15,,GFCL,51,32,20,797,15940,8/1/2024,118388236,232,Oxford Securities Pvt. Ltd.,Premier Securities Company Ltd.,2024-08-01T14:16:55.461822,Goodwill Finance Limited
908,2.02E+15,,GFCL,59,61,20,799,15980,8/1/2024,118388346,232,Deevyaa Securities & Stock House Pvt. Ltd,BHOLE GANESH SECURITIES LTD,2024-08-01T14:17:02.032695,Goodwill Finance Limited
907,2.02E+15,,GFCL,25,45,400,799,319600,8/1/2024,118388290,232,Sweta Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:16:59.003938,Goodwill Finance Limited
903,2.02E+15,,GFCL,40,45,100,799,79900,8/1/2024,118388010,232,Creative Securities Pvt Ltd,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:16:47.80848,Goodwill Finance Limited
902,2.02E+15,,GFCL,34,55,294,799,234906,8/1/2024,118387739,232,Vision Securities Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,2024-08-01T14:16:38.137776,Goodwill Finance Limited
896,2.02E+15,,GFCL,34,55,300,799,239700,8/1/2024,118387299,232,Vision Securities Pvt. Ltd,Bhrikuti Stock Broking Co. Pvt. Ltd.,2024-08-01T14:16:17.948374,Goodwill Finance Limited
895,2.02E+15,,GFCL,55,55,100,799,79900,8/1/2024,118387298,232,Bhrikuti Stock Broking Co. Pvt. Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,2024-08-01T14:16:17.948159,Goodwill Finance Limited
920,2.02E+15,,GFCL,45,14,42,799.9,33595.8,8/1/2024,118389773,232,Imperial Securities Company Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2024-08-01T14:17:57.375468,Goodwill Finance Limited
919,2.02E+15,,GFCL,59,14,300,799.9,239970,8/1/2024,118389710,232,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2024-08-01T14:17:56.49205,Goodwill Finance Limited
918,2.02E+15,,GFCL,39,14,200,799.9,159980,8/1/2024,118389064,232,Sumeru Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2024-08-01T14:17:31.905351,Goodwill Finance Limited
901,2.02E+15,,GFCL,54,14,20,799.9,15998,8/1/2024,118387702,232,Sewa Securities Pvt. Ltd.,Nepal Stock House (PVT) Ltd.,2024-08-01T14:16:35.347059,Goodwill Finance Limited
900,2.02E+15,,GFCL,5,14,100,799.9,79990,8/1/2024,118387602,232,Market Securities & Exchange (PVT) Ltd.,Nepal Stock House (PVT) Ltd.,2024-08-01T14:16:32.231241,Goodwill Finance Limited
899,2.02E+15,,GFCL,59,14,180,799.9,143982,8/1/2024,118387574,232,Deevyaa Securities & Stock House Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2024-08-01T14:16:30.74143,Goodwill Finance Limited
921,2.02E+15,,GFCL,45,51,10,800,8000,8/1/2024,118390243,232,Imperial Securities Company Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2024-08-01T14:18:22.430623,Goodwill Finance Limited
917,2.02E+15,,GFCL,34,14,158,800,126400,8/1/2024,118389056,232,Vision Securities Pvt. Ltd,Nepal Stock House (PVT) Ltd.,2024-08-01T14:17:31.843335,Goodwill Finance Limited
916,2.02E+15,,GFCL,34,71,142,800,113600,8/1/2024,118389015,232,Vision Securities Pvt. Ltd,SHUBHAKAMANA SECURITIES PVT. LTD,2024-08-01T14:17:29.914944,Goodwill Finance Limited
898,2.02E+15,,GFCL,5,71,100,800,80000,8/1/2024,118387476,232,Market Securities & Exchange (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2024-08-01T14:16:25.157855,Goodwill Finance Limited
897,2.02E+15,,GFCL,58,71,10,800,8000,8/1/2024,118387362,232,Naasa Securities Co. Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2024-08-01T14:16:20.492694,Goodwill Finance Limited
894,2.02E+15,,GFCL,14,71,100,800,80000,8/1/2024,118387194,232,Nepal Stock House (PVT) Ltd.,SHUBHAKAMANA SECURITIES PVT. LTD,2024-08-01T14:16:11.795401,Goodwill Finance Limited
893,2.02E+15,,GFCL,41,4,500,800,400000,8/1/2024,118387010,232,Linch Stock Market Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:16:03.269625,Goodwill Finance Limited
892,2.02E+15,,GFCL,34,4,100,800,80000,8/1/2024,118386980,232,Vision Securities Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:16:01.79581,Goodwill Finance Limited
891,2.02E+15,,GFCL,14,4,50,800,40000,8/1/2024,118386908,232,Nepal Stock House (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628824,Goodwill Finance Limited
890,2.02E+15,,GFCL,59,4,1000,800,800000,8/1/2024,118386906,232,Deevyaa Securities & Stock House Pvt. Ltd,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628718,Goodwill Finance Limited
889,2.02E+15,,GFCL,52,4,56,800,44800,8/1/2024,118386904,232,Sundhara Securities Limited,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628625,Goodwill Finance Limited
888,2.02E+15,,GFCL,45,4,50,800,40000,8/1/2024,118386902,232,Imperial Securities Company Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628535,Goodwill Finance Limited
887,2.02E+15,,GFCL,39,4,1000,801,801000,8/1/2024,118386900,232,Sumeru Securities Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628446,Goodwill Finance Limited
886,2.02E+15,,GFCL,45,4,30,802,24060,8/1/2024,118386898,232,Imperial Securities Company Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628331,Goodwill Finance Limited
885,2.02E+15,,GFCL,16,4,20,803.6,16072,8/1/2024,118386896,232,Primo Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628217,Goodwill Finance Limited
1252,2.02E+15,,GFCL,37,10,52,804,41808,8/1/2024,118486042,232,Swarna Laxmi Securities Pvt. Ltd.,Pragyan Securities (PVT) Ltd.,2024-08-01T14:59:58.707874,Goodwill Finance Limited
1029,2.02E+15,,GFCL,37,39,300,804,241200,8/1/2024,118414837,232,Swarna Laxmi Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2024-08-01T14:34:30.77833,Goodwill Finance Limited
884,2.02E+15,,GFCL,6,4,40,804,32160,8/1/2024,118386894,232,Agrawal Securities (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628118,Goodwill Finance Limited
883,2.02E+15,,GFCL,4,4,10,804.6,8046,8/1/2024,118386892,232,Opal Securities Investment (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.628013,Goodwill Finance Limited
1251,2.02E+15,,GFCL,32,10,252,805,202860,8/1/2024,118486040,232,Premier Securities Company Ltd.,Pragyan Securities (PVT) Ltd.,2024-08-01T14:59:58.707841,Goodwill Finance Limited
1249,2.02E+15,,GFCL,32,45,48,805,38640,8/1/2024,118484507,232,Premier Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.798277,Goodwill Finance Limited
1248,2.02E+15,,GFCL,62,45,10,805,8050,8/1/2024,118484506,232,Capital Max Securities Ltd,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.798159,Goodwill Finance Limited
1247,2.02E+15,,GFCL,19,45,10,805,8050,8/1/2024,118484504,232,Nepal Investment And Securities Trading Private Limited,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.798041,Goodwill Finance Limited
1246,2.02E+15,,GFCL,1,45,100,805,80500,8/1/2024,118484502,232,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.797929,Goodwill Finance Limited
1245,2.02E+15,,GFCL,42,45,200,805,161000,8/1/2024,118484500,232,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.79782,Goodwill Finance Limited
1244,2.02E+15,,GFCL,13,45,10,805,8050,8/1/2024,118484498,232,Thrive Brokerage House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.797713,Goodwill Finance Limited
1243,2.02E+15,,GFCL,45,45,120,805,96600,8/1/2024,118484496,232,Imperial Securities Company Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:59:50.79761,Goodwill Finance Limited
1028,2.02E+15,,GFCL,56,39,100,805,80500,8/1/2024,118414836,232,Sri Hari Securities Pvt. Ltd.,Sumeru Securities Pvt. Ltd.,2024-08-01T14:34:30.778054,Goodwill Finance Limited
1027,2.02E+15,,GFCL,5,4,97,805,78085,8/1/2024,118414103,232,Market Securities & Exchange (PVT) Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:34:11.734173,Goodwill Finance Limited
1026,2.02E+15,,GFCL,42,4,72,805,57960,8/1/2024,118414102,232,Sani Securities Company Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:34:11.734057,Goodwill Finance Limited
932,2.02E+15,,GFCL,42,45,428,805,344540,8/1/2024,118392123,232,Sani Securities Company Ltd.,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:19:51.416111,Goodwill Finance Limited
931,2.02E+15,,GFCL,35,45,100,805,80500,8/1/2024,118392122,232,Kohinoor Investment & Securities Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2024-08-01T14:19:51.415919,Goodwill Finance Limited
882,2.02E+15,,GFCL,25,4,100,805,80500,8/1/2024,118386890,232,Sweta Securities Private Limited,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.627911,Goodwill Finance Limited
881,2.02E+15,,GFCL,55,4,100,805,80500,8/1/2024,118386888,232,Bhrikuti Stock Broking Co. Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.627808,Goodwill Finance Limited
880,2.02E+15,,GFCL,28,4,500,805,402500,8/1/2024,118386886,232,Shree Krishna Securities Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.627698,Goodwill Finance Limited
879,2.02E+15,,GFCL,53,4,300,805,241500,8/1/2024,118386884,232,Investment Management Nepal Pvt. Ltd.,Opal Securities Investment (PVT) Ltd.,2024-08-01T14:15:58.627609,Goodwill Finance Limited
